temperature_target_K,tint_coordinate,old_x,old_y,old_u1960,old_v1960,old_true_cct_K,old_true_duv,old_cct_shift_K,new_x,new_y,new_u1960,new_v1960,new_recovered_cct_K,new_recovered_duv,new_cct_error_K
2500,0.135,0.13050653801917353,0.8394112659826065,0.04074534229605062,0.3931078842340946,7886.843274821421,0.17910985877673163,5386.843274821421,0.602515692477187,0.6199053326134782,0.2610035152940072,0.4028047891078242,2500.0012139294,0.04999999999988087,0.00121392939990983
2500,0.4,0.2940064595974257,0.6382240625159329,0.11677725091398883,0.3802470101668182,6113.485428278224,0.10888251013778352,3613.4854282782244,0.5563494454799881,0.5440565163663764,0.2644252915976627,0.3878739454705604,2500.0008929338396,0.03468208092477092,0.0008929338396228559
2500,1.0,0.4764590303999999,0.41371556042771085,0.271809210166297,0.3540231978150047,2506.7848812224424,3.7622696389673025e-05,6.784881222442436,0.476994071046068,0.4136796370410202,0.27217270964367524,0.3540682617635484,2500.0000000000023,1.2400296733515198e-17,2.2737367544323206e-12
2500,1.6,0.5639525025117168,0.30605454869247894,0.406837130837065,0.33118308877553215,1901.0000000000027,-0.0343801247931845,-598.9999999999973,0.43811158447337256,0.34979767194514116,0.2772266437385476,0.33201553445844617,2499.9992409979777,-0.022624434389078504,-0.0007590020222778548
2500,2.326,0.6235149628491958,0.23276274089698212,0.5486124925705583,0.30720164327138993,1901.0000000000027,-0.06730008696520141,-598.9999999999973,0.4001947895934378,0.2875022896130722,0.28334190399334325,0.3053317344192725,2499.997982160438,-0.049999999999848235,-0.00201783956208601
3200,0.135,0.11896980348363877,0.8310617331513974,0.037368405427208005,0.39155463239514954,8085.554729534658,0.18124330735569627,4885.554729534658,0.5074322071872427,0.5906045600797145,0.22372591568027964,0.3905946768964909,3200.002191592766,0.0499999999998223,0.0021915927659392764
3200,0.4,0.26471759036622994,0.6240984719541924,0.10631499138078179,0.37597250474424904,6622.860753987316,0.11471998011574701,3422.8607539873155,0.47666226643293197,0.5204613830690153,0.22993250184929082,0.3765905013434883,3200.0016440780932,0.03468208092472896,0.0016440780932498456
3200,1.0,0.4231818946533203,0.3990776335587397,0.24381865962425908,0.34489627839593245,3204.3914225093176,7.974218495028298e-05,4.391422509317636,0.42336315517528866,0.3989606942861138,0.24398514977912744,0.34488293405367115,3200.000000000007,-7.295724546811049e-17,6.821210263296962e-12
3200,1.6,0.4976585421486926,0.2933200767658278,0.3603268313010789,0.3185650949394568,1901.0000000000027,-0.04402458633040235,-1298.9999999999973,0.39705723438555773,0.33899370009796187,0.2531522240319998,0.3241988875184586,3199.9983460589083,-0.022624434389037752,-0.00165394109171757
3200,2.326,0.5478119187280575,0.22210179895226118,0.479527475897879,0.2916254048229997,1901.0000000000027,-0.0784658960154852,-1298.9999999999973,0.3712828480487213,0.28023839219527813,0.2642443838779753,0.2991711912108514,3199.995164389743,-0.04999999999973382,-0.0048356102570323856
